№, id,название,цена со скидкой,бренд,продаж,рейтинг,в наличии,Поверхность экрана,Процессор
261, 150753245,Подарочная карта с кодами на Robux 1500,2645.0,Roblox,24,5.0,1,NaN,NaN
262, 140336184,"Ноутбук EXPERTBOOK MTL1577 15.6""",65961.0,HIPER,26,0.0,102,NaN,AMD Ryzen 7 5800U 1.9ГГц
263, 150752379,Подарочная карта с кодами на Robux 200,539.0,Roblox,10,5.0,1,NaN,NaN
264, 161873342,IdeaPad 3 15IGL05 (81WQ0086RU),40491.0,lenovo,10,1.0,122,антибликовая,Intel Celeron-N4020
265, 182098650,"Ноутбук 15.6"" IPS 4-Ядра RAM 16GB SSD 512GB (M.2)",40500.0,Smart Sensor,59,4.0,139,NaN,Intel Celeron N5095
266, 183784321,Ноутбук игровой TUF Gaming F15 FX507ZU4-LP114,134091.0,Asus,28,0.0,133,матовая; антибликовая,Intel Core i7-12700H 12-го поколения; тактовая частота 2;3 ГГц
267, 158141076,"Ноутбук AZ-1506 15.6"" Intel 4x2.0GHz; 8Gb; 256Gb SSD",28341.0,Azerty,10,5.0,108,матовое,Intel Celeron J4125 (2.0 ГГц)
268, 192269860,Ноутбук IdeaPad 1 (82V700DURK),31491.0,Lenovo,10,0.0,224,антибликовая,Intel Celeron N4020
269, 191366925,Ноутбук Inbook X3 PLUS XL31 (71008301219),75231.0,Infinix,10,0.0,77,матовая,Intel Iris Xe Graphics
270, 180987760,MagicBook 14; R5500-16-512-безОС,53559.0,Honor,16,5.0,132,матовая,AMD Ryzen 5 5500U
271, 169153818,Ноутбук Фрбби V10,20313.0,Frbby,45,5.0,90,NaN,Intel(R) Celeron(R) J4105
272, 158141108,"Ноутбук AZ-1504 15.6"" Intel 4x1.5Ghz; 8Gb; 1Tb SSD",30186.0,Azerty,10,5.0,108,матовое,Intel Celeron J3455 (1.5 ГГц)
273, 187888370,"Ноутбук RB-1451 14"" Intel N4020 2x1.1Ghz; 6Gb; 128Gb SSD",17370.0,Azerty,10,5.0,86,матовая,Intel Celeron N4020 (1.1 ГГц)
274, 183217401,Ноутбук 15 EX215-52-37SE FHD i3-1005G1 4Gb 1Tb NoOs,30546.0,Acer,12,0.0,84,NaN,Intel Core i3 - 1005G1
275, 182937481,Ноутбук для учебы Litebook 15 C152I-I311-W11 (N156DRP),33299.0,ЗЕОН,45,5.0,94,матовая,Intel Core i3 1115G4
276, 150753882,Подарочная карта с кодами на Robux 3000,4976.0,Roblox,28,5.0,1,NaN,NaN
277, 177993996,Ноутбук A515-45G-R26X Ryzen 7 8GB SSD 512GB RadeonRX640,49680.0,Acer,37,5.0,98,матовая,AMD Ryzen 7 5700U
278, 158141080,"Ноутбук AZ-1504 15.6"" Intel 4x1.5GHz; 8Gb; 256Gb SSD",26334.0,Azerty,10,5.0,72,матовое,Intel Celeron J3455 (1.5 ГГц)
279, 185692022,"Ноутбук 17"" P727 Core i7 16G 512G SSD Win11",75865.0,Maibenben,20,0.0,281,антибликовая,Intel Core i7-12650H 2.3 ГГц
280, 104180100,Ноутбук Aspire A315-34-C34A,29657.0,Acer,7,3.0,109,NaN,Intel Celeron N4020
281, 183973424,MacBook Air 15 M2; 8 512 ГБ; Midnight,155160.0,Apple,10,0.0,236,NaN,Apple M2
282, 176501260,Подставка для ноутбука алюминиевая,680.0,OPENTHEBEST,75,5.0,5,NaN,NaN
283, 177638667,PROBOOK 450 G9 I7-1255U 8GB 512GBSSD NVDA GEF MX570 - 2GB,94038.0,HP,12,0.0,270,Матовая,INTEL I7-1255U
284, 180285398,"15"" Ноутбук IdeaPad Slim 3 15AMN8 AMD Ryzen 5 8ГБ SSD 256ГБ",41841.0,lenovo,16,0.0,137,матовая,AMD Ryzen 5 7520U (2.8 ГГц)
285, 158141078,"Ноутбук AZ-1505 15.6"" Intel 4x2.0GHz; 12Gb; 1 Tb SSD",33219.0,Azerty,10,5.0,108,матовое,Intel Celeron J4125 (2.0 ГГц)
286, 149260428,"15 6"" Notebook Intel Celeron N5095 2 0 GHz 16GB SSD 512Gb",29646.0,,10,5.0,106,NaN,Intel Celeron N5095A 2.00GHz 4 ядра
287, 164594446,Карта пополнения 22500,21734.0,Roblox,32,5.0,1,NaN,NaN
288, 150754211,Подарочная карта с кодами на Robux 5000,8318.0,Roblox,28,5.0,1,NaN,NaN
289, 182913392,Ноутбук MacBook Air 13 M2 256Gb; Midnight Темная ночь,121491.0,Apple,10,0.0,168,NaN,M2
290, 185359267,"Ноутбук 15.6"" M565 Core i5-1135G7 8G 512G SSD",49164.0,Maibenben,21,0.0,281,антибликовая,Intel Core i5-1135G7 2.4 ГГц
291, 176446255,Подставка для ноутбука алюминиевая,680.0,OPENTHEBEST,75,0.0,5,NaN,NaN
292, 185735145,"Ноутбук 15.6"" VivoBook 15X AMD Ryzen 7 16G 512G SSD",73480.0,Asus,16,0.0,97,глянцевая,AMD Ryzen 7-5800H
293, 183773722,Ноутбук игровой ROG Zephyrus G16 GU603ZU-N4050,168291.0,Asus,28,0.0,137,матовая; антибликовая,Intel Core i7-12700H 12-го поколения; тактовая частота 2;3 ГГц
294, 182280189,Ноутбук K3605ZC-N1155 i5-12500H 16GB 512GB SSD RTX 3050 4GB,100350.0,Asus,28,0.0,106,матовая,Intel Core i5-12500H (2.5 ГГц)
295, 184846544,Ноутбук V16 Pro,31050.0,FRBBY,37,0.0,182,матовая,Intel Celeron 5105
296, 185354904,"Ноутбук 14"" P455; AMD Ryzen5-5500U 8G 256G SSD",46561.0,Maibenben,20,0.0,281,Матовое,AMD Ryzen 5 5560U (2.3 ГГц)
297, 176894763,7 портов разъемов USB,516.0,OPENTHEBEST,63,5.0,1,NaN,NaN
298, 183218231,Ноутбук 15 EX215-52-37SE i3-1005G1 4Gb 1Tb NoOs,30771.0,Acer,14,0.0,70,NaN,Intel Core i3 - 1005G1
299, 178348224,Регулируемая подставка для правильного осанка,680.0,OPENTHEBEST,75,0.0,5,NaN,NaN
300, 159906730,"Ноутбук 14 1"" Notebook Intel J4105 1 5 GHz 8GB SSD 256GB",21175.0,,10,0.0,20,NaN,Intel Celeron J4105
301, 177638636,ELITEBOOK 840 G8 I5-1135G7 8GB 512GBSSD С СУМКОЙ,101538.0,HP,10,0.0,187,Матовая,INTEL I5-1135G7
302, 187888411,"Ноутбук RB-1551 15.6"" Intel N5095 4x2.0GHz; 16Gb; 512Gb SSD",25236.0,Azerty,10,5.0,84,матовая,Intel Celeron N5095 (2.0 ГГц)
303, 150752499,Подарочная карта с кодами на Robux 400,1071.0,Roblox,10,5.0,1,NaN,NaN
304, 158141093,"Ноутбук AZ-1406 14"" Intel 2х1.10GHz; 6Gb; 256Gb SSD",20250.0,Azerty,10,5.0,88,матовое,Intel Celeron N3350 (1.1 ГГц)
